GroupRank,GroupName,GroupTotalCount,GroupPercentOfGames,OpeningRank,OpeningName,VariationName,Count,PercentOfGames
1,"Sicilian Defense",1636557,16.354346,711,"Sicilian Defense: Accelerated Dragon, Maróczy Bind, Gurgenidze Variation","Accelerated Dragon, Maróczy Bind, Gurgenidze Variation",2899,0.028970
1,"Sicilian Defense",1636557,16.354346,712,"Sicilian Defense: O'Kelly Variation, Yerevan System","O'Kelly Variation, Yerevan System",2892,0.028900
1,"Sicilian Defense",1636557,16.354346,714,"Sicilian Defense: Bowdler Attack","Bowdler Attack",2883,0.028810
1,"Sicilian Defense",1636557,16.354346,720,"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation","Smith-Morra Gambit Declined, Scandinavian Formation",2826,0.028241
1,"Sicilian Defense",1636557,16.354346,727,"Sicilian Defense: Modern Variations, Tartakower","Modern Variations, Tartakower",2776,0.027741
1,"Sicilian Defense",1636557,16.354346,755,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations","Dragon Variation, Yugoslav Attack, Early Deviations",2592,0.025902
1,"Sicilian Defense",1636557,16.354346,760,"Sicilian Defense: Scheveningen Variation","Scheveningen Variation",2558,0.025562
1,"Sicilian Defense",1636557,16.354346,765,"Sicilian Defense: Pin Variation, Koch Variation","Pin Variation, Koch Variation",2540,0.025383
1,"Sicilian Defense",1636557,16.354346,768,"Sicilian Defense: Wing Gambit Deferred","Wing Gambit Deferred",2515,0.025133
1,"Sicilian Defense",1636557,16.354346,780,"Sicilian Defense: Dragon Variation, Levenfish Variation","Dragon Variation, Levenfish Variation",2471,0.024693
1,"Sicilian Defense",1636557,16.354346,783,"Sicilian Defense: Smith-Morra Gambit Accepted, Classical Formation","Smith-Morra Gambit Accepted, Classical Formation",2450,0.024483
1,"Sicilian Defense",1636557,16.354346,803,"Sicilian Defense: Katalimov Variation","Katalimov Variation",2337,0.023354
1,"Sicilian Defense",1636557,16.354346,804,"Sicilian Defense: Dragon Variation, Fianchetto Variation","Dragon Variation, Fianchetto Variation",2335,0.023334
1,"Sicilian Defense",1636557,16.354346,812,"Sicilian Defense: Najdorf Variation, English Attack, Anti-English","Najdorf Variation, English Attack, Anti-English",2305,0.023034
1,"Sicilian Defense",1636557,16.354346,817,"Sicilian Defense: Taimanov Variation, Normal Variation","Taimanov Variation, Normal Variation",2276,0.022744
1,"Sicilian Defense",1636557,16.354346,818,"Sicilian Defense: O'Kelly Variation, Maróczy Bind","O'Kelly Variation, Maróczy Bind",2275,0.022734
1,"Sicilian Defense",1636557,16.354346,819,"Sicilian Defense: Accelerated Dragon","Accelerated Dragon",2274,0.022724
1,"Sicilian Defense",1636557,16.354346,822,"Sicilian Defense: Portsmouth Gambit","Portsmouth Gambit",2255,0.022535
1,"Sicilian Defense",1636557,16.354346,837,"Sicilian Defense: Alapin Variation, Barmen Defense, Central Exchange","Alapin Variation, Barmen Defense, Central Exchange",2154,0.021525
1,"Sicilian Defense",1636557,16.354346,844,"Sicilian Defense: Wing Gambit, Carlsbad Variation","Wing Gambit, Carlsbad Variation",2125,0.021235
1,"Sicilian Defense",1636557,16.354346,845,"Sicilian Defense: Nimzowitsch Variation, Exchange Variation","Nimzowitsch Variation, Exchange Variation",2123,0.021215
1,"Sicilian Defense",1636557,16.354346,846,"Sicilian Defense: Smith-Morra Gambit Accepted","Smith-Morra Gambit Accepted",2118,0.021165
1,"Sicilian Defense",1636557,16.354346,858,"Sicilian Defense: Grand Prix Attack, Schofman Variation","Grand Prix Attack, Schofman Variation",2071,0.020696
1,"Sicilian Defense",1636557,16.354346,865,"Sicilian Defense: Nimzowitsch Variation","Nimzowitsch Variation",2054,0.020526
1,"Sicilian Defense",1636557,16.354346,871,"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation","Smith-Morra Gambit Accepted, Kan Formation",2037,0.020356
1,"Sicilian Defense",1636557,16.354346,876,"Sicilian Defense: Smith-Morra Gambit Accepted, Pin Defense","Smith-Morra Gambit Accepted, Pin Defense",2008,0.020066
1,"Sicilian Defense",1636557,16.354346,877,"Sicilian Defense: Taimanov Variation, Szén Variation","Taimanov Variation, Szén Variation",2007,0.020056
1,"Sicilian Defense",1636557,16.354346,895,"Sicilian Defense: Kupreichik Variation","Kupreichik Variation",1956,0.019547
1,"Sicilian Defense",1636557,16.354346,899,"Sicilian Defense: Prins Variation, Venice Attack","Prins Variation, Venice Attack",1942,0.019407
1,"Sicilian Defense",1636557,16.354346,908,"Sicilian Defense: Sozin Attack, Main Line","Sozin Attack, Main Line",1904,0.019027
1,"Sicilian Defense",1636557,16.354346,929,"Sicilian Defense: Classical Variation, Fianchetto Variation","Classical Variation, Fianchetto Variation",1826,0.018247
1,"Sicilian Defense",1636557,16.354346,976,"Sicilian Defense: O'Kelly Variation, Maróczy Bind, Paulsen Line","O'Kelly Variation, Maróczy Bind, Paulsen Line",1678,0.016768
1,"Sicilian Defense",1636557,16.354346,985,"Sicilian Defense: Kan Variation, Wing Attack, Fianchetto Variation","Kan Variation, Wing Attack, Fianchetto Variation",1656,0.016549
1,"Sicilian Defense",1636557,16.354346,990,"Sicilian Defense: Nimzowitsch Variation, Main Line","Nimzowitsch Variation, Main Line",1641,0.016399
1,"Sicilian Defense",1636557,16.354346,994,"Sicilian Defense: Closed, Anti-Sveshnikov Variation, with d6","Closed, Anti-Sveshnikov Variation, with d6",1626,0.016249
2,"English Opening",610968,6.105490,17,"English Opening: Agincourt Defense","Agincourt Defense",53147,0.531106
2,"English Opening",610968,6.105490,19,"English Opening: King's English Variation","King's English Variation",50897,0.508621
2,"English Opening",610968,6.105490,50,"English Opening: Symmetrical Variation","Symmetrical Variation",35982,0.359573
2,"English Opening",610968,6.105490,60,"English Opening: Anglo-Indian Defense","Anglo-Indian Defense",30398,0.303772
2,"English Opening",610968,6.105490,68,"English Opening: Agincourt Defense, Neo-Catalan Declined","Agincourt Defense, Neo-Catalan Declined",27573,0.275541
2,"English Opening",610968,6.105490,73,"English Opening: Caro-Kann Defensive System","Caro-Kann Defensive System",26402,0.263839
2,"English Opening",610968,6.105490,87,"English Opening: Great Snake Variation","Great Snake Variation",23313,0.232970
2,"English Opening",610968,6.105490,95,"English Opening: Anglo-Indian Defense, King's Indian Formation","Anglo-Indian Defense, King's Indian Formation",21711,0.216961
2,"English Opening",610968,6.105490,96,"English Opening","",21707,0.216921
2,"English Opening",610968,6.105490,97,"English Opening: Anglo-Indian Defense, King's Knight Variation","Anglo-Indian Defense, King's Knight Variation",21641,0.216262
2,"English Opening",610968,6.105490,113,"English Opening: Anglo-Indian Defense, Queen's Knight Variation","Anglo-Indian Defense, Queen's Knight Variation",19194,0.191808
2,"English Opening",610968,6.105490,137,"English Opening: Four Knights System, Nimzowitsch Variation","Four Knights System, Nimzowitsch Variation",16436,0.164247
2,"English Opening",610968,6.105490,153,"English Opening: Symmetrical Variation, Anti-Benoni Variation","Symmetrical Variation, Anti-Benoni Variation",15346,0.153355
2,"English Opening",610968,6.105490,184,"English Opening: King's English Variation, Kramnik-Shirov Counterattack","King's English Variation, Kramnik-Shirov Counterattack",13385,0.133758
2,"English Opening",610968,6.105490,240,"English Opening: Mikenas-Carls Variation","Mikenas-Carls Variation",10223,0.102160
2,"English Opening",610968,6.105490,242,"English Opening: Agincourt Defense, Catalan Defense Accepted","Agincourt Defense, Catalan Defense Accepted",10179,0.101720
2,"English Opening",610968,6.105490,250,"English Opening: King's English Variation, Four Knights Variation, Fianchetto Line","King's English Variation, Four Knights Variation, Fianchetto Line",9931,0.099242
2,"English Opening",610968,6.105490,267,"English Opening: King's English Variation, Three Knights System","King's English Variation, Three Knights System",9051,0.090448
2,"English Opening",610968,6.105490,288,"English Opening: King's English Variation, Four Knights Variation, Quiet Line","King's English Variation, Four Knights Variation, Quiet Line",8335,0.083293
2,"English Opening",610968,6.105490,302,"English Opening: Symmetrical Variation, Four Knights Variation","Symmetrical Variation, Four Knights Variation",7863,0.078576
2,"English Opening",610968,6.105490,312,"English Opening: King's English Variation, Reversed Closed Sicilian","King's English Variation, Reversed Closed Sicilian",7595,0.075898
2,"English Opening",610968,6.105490,313,"English Opening: Anglo-Indian Defense, Queen's Indian Formation","Anglo-Indian Defense, Queen's Indian Formation",7589,0.075838
2,"English Opening",610968,6.105490,320,"English Opening: Neo-Catalan","Neo-Catalan",7468,0.074629
2,"English Opening",610968,6.105490,339,"English Opening: Anglo-Dutch Defense","Anglo-Dutch Defense",6947,0.069422
2,"English Opening",610968,6.105490,374,"English Opening: Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense","Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense",6407,0.064026
2,"English Opening",610968,6.105490,377,"English Opening: Symmetrical Variation, Three Knights Variation","Symmetrical Variation, Three Knights Variation",6366,0.063616
2,"English Opening",610968,6.105490,383,"English Opening: Symmetrical Variation, Mecking Variation","Symmetrical Variation, Mecking Variation",6294,0.062897
2,"English Opening",610968,6.105490,407,"English Opening: Symmetrical Variation, Botvinnik System","Symmetrical Variation, Botvinnik System",5937,0.059329
2,"English Opening",610968,6.105490,414,"English Opening: Symmetrical Variation, Hedgehog Defense","Symmetrical Variation, Hedgehog Defense",5813,0.058090
2,"English Opening",610968,6.105490,425,"English Opening: Symmetrical Variation, Three Knights, Fianchetto Variation","Symmetrical Variation, Three Knights, Fianchetto Variation",5640,0.056361
2,"English Opening",610968,6.105490,443,"English Opening: King's English Variation, Reversed Sicilian","King's English Variation, Reversed Sicilian",5517,0.055132
2,"English Opening",610968,6.105490,453,"English Opening: King's English Variation, Two Knights Variation","King's English Variation, Two Knights Variation",5433,0.054293
2,"English Opening",610968,6.105490,462,"English Opening: Symmetrical Variation, Symmetrical Variation","Symmetrical Variation, Symmetrical Variation",5377,0.053733
2,"English Opening",610968,6.105490,482,"English Opening: Anglo-Indian Defense, Anglo-Grünfeld Variation","Anglo-Indian Defense, Anglo-Grünfeld Variation",5078,0.050745
2,"English Opening",610968,6.105490,483,"English Opening: Symmetrical Variation, Two Knights Line","Symmetrical Variation, Two Knights Line",5063,0.050595
2,"English Opening",610968,6.105490,506,"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense","Agincourt Defense, Catalan Defense, Semi-Slav Defense",4754,0.047507
2,"English Opening",610968,6.105490,532,"English Opening: Symmetrical Variation, Normal Variation","Symmetrical Variation, Normal Variation",4456,0.044529
2,"English Opening",610968,6.105490,536,"English Opening: Symmetrical Variation, Fianchetto Variation","Symmetrical Variation, Fianchetto Variation",4403,0.044000
2,"English Opening",610968,6.105490,582,"English Opening: Anglo-Indian Defense, Hedgehog System","Anglo-Indian Defense, Hedgehog System",3976,0.039733
2,"English Opening",610968,6.105490,591,"English Opening: King's English Variation, Two Knights Variation, Smyslov System","King's English Variation, Two Knights Variation, Smyslov System",3908,0.039053
2,"English Opening",610968,6.105490,623,"English Opening: Symmetrical Variation, Ultra-Symmetrical Variation","Symmetrical Variation, Ultra-Symmetrical Variation",3537,0.035346
2,"English Opening",610968,6.105490,649,"English Opening: Anglo-Indian Defense, Old Indian Formation","Anglo-Indian Defense, Old Indian Formation",3391,0.033887
2,"English Opening",610968,6.105490,650,"English Opening: Anglo-Indian Defense, Anti-Anti-Grünfeld","Anglo-Indian Defense, Anti-Anti-Grünfeld",3341,0.033387
2,"English Opening",610968,6.105490,662,"English Opening: Symmetrical Variation, Duchamp Variation","Symmetrical Variation, Duchamp Variation",3245,0.032428
2,"English Opening",610968,6.105490,670,"English Opening: King's English Variation, Taimanov Variation","King's English Variation, Taimanov Variation",3183,0.031808
2,"English Opening",610968,6.105490,671,"English Opening: Agincourt Defense, Wimpy System","Agincourt Defense, Wimpy System",3181,0.031788
